"","Nombre","Provincia","Partido","Circuito","Suplente","Email","Url de imagen"
"16","H.D. RAÚL GILBERTO PINEDA VERGARA","Panamá","Partido Revolucionario Democrático","8-6","Plata Hernández, Enrique Abdiel","Rpineda@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_raul_pineda_pwc_0.jpg?itok=0m_PTIRc"
"17","H.D. CRESCENCIA PRADO GARCÍA","Ngobe Bugle","Partido Revolucionario Democrático","12-3","Guerra Santos, Víctor","Cprado@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_crescencia_prado_pwc.jpg?itok=aNoiurZa"
"18","H.D. IVÁN PICOTA BENÍTEZ","Panamá","Partido Revolucionario Democrático","8-7","Forero Gómez, Edgardo Alonso","Ipicota@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_ivan_picota_pwc.jpg?itok=SZ7rZ4sG"
"19","H.D. ZULAY LEYSET RODRÍGUEZ LU","Panamá","Partido Revolucionario Democrático","8-6","Sanjur Otero, César Diomedes","Zrodriguez@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_zulay_rodriguez_pwc.jpg?itok=Wii9EGy7"
"20","H.D. ELIAS ARIEL CASTILLO GONZÁLEZ","Panamá","Partido Revolucionario Democrático","8-8","Dutary Maylín, Jorge Enrique","Ecastillo@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/h.d_elias_castillo_pwc.jpg?itok=HxvGy1JL"
"21","H.D. LEANDRO ÁVILA","Panamá","Partido Revolucionario Democrático","8-6","Caballero Hurtado, Cristian Nivaldo","Lavila@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_leandro_avila_pwc.jpg?itok=X_7gfz3T"
"22","H.D. JAVIER O. ORTEGA S.","Panamá","Partido Revolucionario Democrático","8-8","Oro Solís de Torrijos, Vielka Edith","Jortega@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_javier_ortega_pwc.jpg?itok=pSeW1vwX"
"23","H.D. ANA MATILDE GÓMEZ RUILOBA","Panamá","Libre Postulación","8-7","Spadafora Mejía de Coles, Alida","Agomez@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_ana_m_gomez_pwc.jpg?itok=Cgb2iWUy"
"24","H.D. RUBÉN DE LEÓN SÁNCHEZ","Veraguas","Partido Revolucionario Democrático","9-1","Tristán Benavides, José Gertrudis","Rdeleon@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hdruben_de_leon_pwc.jpg?itok=pA4y45Cd"
"25","H.D. QUIBIAN TERIBE PANAY GONZÁLEZ","Panamá","Partido Revolucionario Democrático","8-9","Martínez Gordón, Miguel Ángelo","Qpanay@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_quibian_panay_pwc.jpg?itok=Z_j7W6ZE"
"26","H.D. PEDRO MIGUEL GONZÁLEZ PINZÓN","Veraguas","Partido Revolucionario Democrático","9-3","Puga García, Carlos Enrique","Pgonzalez@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/h.d_pedro_m_gonzalez_pwc.jpg?itok=7F2H3ufu"
"27","H.D. BENICIO E. ROBINSON G.","Bocas del Toro","Partido Revolucionario Democrático","1-1","Quintero Miranda, Mónica","Brobinson@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_benicio_robinson_pwc.jpg?itok=1nFCk_qU"
"28","H.D. JUAN CARLOS ARANGO REESE","Panamá","Partido Popular","8-3","Vergara Cárdenas, Edwin Emilio","Jarango@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_juan_c_arango_pwc.jpg?itok=No8lgqg4"
"29","H.D. JUAN MIGUEL RÍOS GONZÁLEZ","Herrera","Partido Panameñista","6-3","Vega Tello, Luis","Jrios@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_juan_miguel_rios_pwc.jpg?itok=v6dy6xYy"
"30","H.D. LUIS ALEXANDER BARRÍA MOSCOSO","Panamá","Partido Panameñista","8-9","Guardia Quijada, David Victoriano","Lbarria@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_luis_barria_pwc.jpg?itok=I9M_Cjxq"
"31","H.D. KATLEEN LEVY G.","Panamá","Partido Panameñista","8-10","Oda, Dimas Ascanio","Klevy@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_katleen_levy_pwc.jpg?itok=0Z5ur3-J"
"32","H.D. JOSÉ LUIS VARELA RODRÍGUEZ","Herrera","Partido Panameñista","6-2","Arosemena Athanasiadis, Alberto Arístides","JVarela@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/h.d_jose_luis_varela_pwc.jpg?itok=fEbg07g7"
"33","H.D. JUAN B. MOYA M.","Panamá","Partido Panameñista","8-8","","Jmoya@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_juan_b_moya_pwc.jpg?itok=7G-P4Cje"
"34","H.D. NÉSTOR A. GUARDIA JAÉN","Coclé","Partido Revolucionario Democrático","2-1","Ramos Tuñón, Daniel","Nguardia@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/no-profile-male-img_5.gif?itok=t51kX1sJ"
"35","H.D. FLORENTINO ÁBREGO LEZCANO","Chiriquí","Partido Panameñista","4-1","Morales, Hernán","","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/no-profile-male.gif?itok=iaRkrup5"
"36","H.D. JOSÉ ANTONIO DOMÍNGUEZ ÁLVAREZ","Panamá","Partido Panameñista","8-6","Domínguez Barahona,  Jorge Aquiles","Jdominguez@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_jose_a_dominguez_pwc.jpg?itok=WROy-fQA"
"37","H.D. JORGE IVÁN ARROCHA ROSARIO","Coclé","Partido Panameñista","2-1","Pascual Otero, Dionicio","","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_jorge_i_arrocha_pwc.jpg?itok=FGg2l8Zu"
"38","H.D. CARLOS ELICEO SANTANA AIZPRÚA","Veraguas","Partido Panameñista","9-1","Santana, Carlos A.","","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/no-profile-male_1.gif?itok=qvWU3mY6"
"39","H.D. JORGE ALBERTO ROSAS","Chiriquí","Partido Panameñista","4-6","Guerra, Armando","","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_jorge_a_rosas_pwc.jpg?itok=Y6HoGLzA"
"40","H.D. RAÚL A. HERNÁNDEZ L.","Coclé","Partido Cambio Democrático","2-2","León González, Eric Alberto","Rhernandez@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_raul_hernandez_pwc.jpg?itok=zqTAPgFj"
"41","H.D. SALVADOR REAL CHEN","Darién","Partido Cambio Democrático","5-2","Rosales Guainora, Naiper","Sreal@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_salvador_real_pwc.jpg?itok=A3CCHOFh"
"42","H.D. NELSON JACKSON PALMA","Colón","Partido Cambio Democrático","3-2","Pascual, Mack","Njackson@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_nelson_jackson_pwc.jpg?itok=d15mTotM"
"43","H.D. HÉCTOR VALDÉS CARRASQUILLA","Panamá","Partido Cambio Democrático","8-6","Lee Vásquez, Víctor Manuel","Hvaldes@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_hector_valdes_carrasquilla_pwc.jpg?itok=rsYnzYSW"
"44","H.D. RONY RONALD ARAÚZ GONZÁLEZ","Chiriquí","Partido Cambio Democrático","4-3","Araúz, Eric Nelson","Rrarauz@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_rony_arauz_pwc.jpg?itok=B_3zqUte"
"45","H.D. RUBÉN DARÍO FRÍAS ORTEGA","Panamá","Partido Cambio Democrático","8-5","Frías O. de Herrera, Ana Tilsia","Rfrias@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_ruben_frias_pwc.jpg?itok=NnkE9wIL"
"46","H.D. SAMIR GOZAINE ABDELMALAK","Chiriquí","Partido Revolucionario Democrático","4-1","Álvarez Herrera, Edgardo Dimas","sgozaine@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/no-profile-male-img_5_0.gif?itok=n3dz9RJZ"
"47","H.D. NORIEL SALERNO ESTÉVEZ","Coclé","Partido Cambio Democrático","2-4","Castillo Bernal, Noriel Abdiel","","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_noriel_salerno_pwc2.jpg?itok=2RP8gCr2"
"48","H.D. MARIO B. MILLER L.","Bocas del Toro","Partido Cambio Democrático","1-1","Baker Abrego, Celestino","Mmiller@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_mario_miller_pwc.jpg?itok=dIugCi6Y"
"49","H.D. MARIELA DEL C. VEGA DE DONOSO","Los Santos","Partido Cambio Democrático","7-2","Nelson, Mario","","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_mariela_vega_pwc2.jpg?itok=glbEJGr3"
"50","H.D. MARIO AUGUSTO LAZARUS NAVALO","Colón","Partido Cambio Democrático","3-1","Bennett Rivera, Samuel Ricardo","Mlazarus@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_mario_lazarus_pwc.jpg?itok=u8LyPG0q"
"51","H.D. ARÍSTIDES DE ICAZA HIDALGO","Panamá","Partido Cambio Democrático","8-5","Starnes P. De Icaza, Nubia","Adeicaza@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_aris_de_icaza_2pwc.jpg?itok=3zUANAtf"
"52","H.D. JOSÉ MUÑOZ MOLINA","Panamá","Partido Cambio Democrático","8-10","Muñoz M. de Ramírez, Mabia María","Jmunoz@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_jose_munoz_pwc.jpg?itok=3Sbw2MBN"
"53","H.D. YANIBEL ÁBREGO SMITH","Panamá","Partido Cambio Democrático","8-2","Rodríguez Medina, Maximino","Yabrego@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_yanibel_abrego-pwc.jpg?itok=EDVYCkkO"
"54","H.D. DANA CASTAÑEDA GUARDIA","Coclé","Partido Cambio Democrático","2-3","Pino Chanis, Gregori","Dcastaneda@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_dana_castaneda_pwc.jpg?itok=sD-WaYFX"
"55","H.D. MARYLIN E. VALLARINO DE SELLHORN ","Panamá","Partido Cambio Democrático","8-1","Sellhorn Carrillo, Agustín R.","Mvallarino@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_marylin_vallarino_pwc.jpg?itok=WuXRgaNy"
"56","H.D. SALVADOR REAL CHEN","Darién","Partido Cambio Democrático","5-2","Rosales Guainora, Naiper","","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/h.d_salvador_real_pwc.jpg?itok=SAjaebvm"
"57","H.D. ADOLFO T. VALDERRAMA RODRÍGUEZ","Panamá","Partido Panameñista","8-7","Tejada Pérez, Santiago Alexis","Avalderrama@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/h.d_adolfo_valderrama_pwc.jpg?itok=6FdKkEcy"
"58","H.D. MANUEL COHEN SALERNO","Herrera","Partido Cambio Democrático","6-1","Doctor Ríos","","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_manuel_cohen_pwc.jpg?itok=o8O9862k"
"59","H.D. DALIA M. BERNAL Y.","Panamá","Partido Cambio Democrático","8-6","Ardines, Marina","Dbernal@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_dalia_bernal_pwc.jpg?itok=k7T8MH_1"
"60","H.D. FERNANDO GUILLERMO CARRILLO SILVESTRI","Panamá","Partido Cambio Democrático","8-8","Ringrose Wynter, Carlos Delano","Fcarrillo@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/h.d_fernando_carrillo_pwc.jpg?itok=YTyAyZJ5"
"61","H.D. VIDAL GARCÍA","Panamá","Partido Cambio Democrático","8-9","García Palacio, José Luis","Vgarcia@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_vidal_garcia_pwc.jpg?itok=6n4Js7fa"
"62","H.D. EDWIN ALBERTO ZÚÑIGA MENCOMO","Panamá","Partido Cambio Democrático","8-10","Gálvez  Trujillo, Lucio","Ezuniga@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_edwin_zuniga_pwc.jpg?itok=qMX3oKSO"
"63","H.D. CARLOS AGUSTÍN AFÚ DECEREGA","Los Santos","Partido Cambio Democrático","7-1","Titín Afú","","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_carlos_afu_pwc.jpg?itok=j9aaMVnj"
"64","H.D. JUAN MANUEL POVEDA GUEVARA","Veraguas","Partido Cambio Democrático","9-4","Martínez  Guevara, Ernesto","Jpoveda@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_juan_m_poveda_pwc.jpg?itok=40QwYRsA"
"65","H.D. HÉCTOR EDUARDO APARICIO DÍAZ","Veraguas","Partido Molirena","9-2","Aizpurúa Adames, Manuel","","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_hector_aparicio_pwc_0.jpg?itok=OhwRhQB4"
"66","H.D. ABSALÓN HERRERA GARCÍA","Guna Yala","Partido Cambio Democrático","10-2","Morris Arias, Ubaldino","Aherrera@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/h.d_absalon_herrera_pwc.jpg?itok=6AM4gANK"
"67","H.D. SERGIO RAFAEL GÁLVEZ EVERS ","Panamá","Partido Cambio Democrático","8-7","Lombana Franceschi, Diego Enrique","Sgalvez@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_sergio_galvez_pwc.jpg?itok=naAzkIOt"
"68","H.D. GABRIEL SOTO MARTÍNEZ ","Arraiján","Partido Panameñista","8-1","Toribio Samaniego, Luis Adriano","Gsoto@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_gabriel_soto_pwc.jpg?itok=tkEAQoQs"
"69","H.D. MIGUEL FANOVICH","Chiriquí","Partido Molirena","4-1","Moreno, José","","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_miguel_fanovich_pwc.jpg?itok=JMf1T-nZ"
"70","H.D. FRANCISCO JOSÉ ALEMÁN MENDOZA","Panamá","Partido Molirena","8-6","González Camarena, Maira Esther","Faleman@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_francisco_aleman_pwc.jpg?itok=tqPboJKN"
"71","H.D. JUAN BAUTISTA SERRANO JIMÉNEZ","Chiriquí","Partido Panameñista","4-4","Pérez Famanía, Jacobo","Jserrano@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_juan_serrano_pwc.jpg?itok=QZ5dF6bf"
"72","H.D. JOSÉ LUIS CASTILLO GÓMEZ","Chiriquí","Partido Panameñista","4-3","Aguilera Franceschi, Carlos Eugenio","Jlcastillo@asamblea.gob.pa","http://www.asamblea.gob.pa/sites/default/files/styles/comisionistas/public/hd_jose_l_castillo_pwc.jpg?itok=N5ZbC3mx"
